Keyword,AI,Back end,Front end,Data
gRPC,4,3,1,0
Node.js,9,107,24,4
MariaDB,0,11,2,1
Pandas,0,1,0,0
Remix,0,0,2,0
GCP,24,36,12,19
Jenkins,3,20,6,1
Three.js,0,2,5,0
FastAPI,8,5,1,3
WebAssembly,0,2,3,0
OpenSearch,0,6,0,0
Airflow,25,6,1,24
GAN,3,0,0,0
Cassandra,1,2,0,2
Ruby,0,8,2,1
WebGL,0,2,7,0
Recoil,0,9,16,0
RabbitMQ,0,5,0,0
Dash,1,0,0,1
Presto,1,0,0,1
ScyllaDB,1,0,0,1
OpenCV,9,1,1,4
Svelte,1,3,3,0
EC2,1,1,1,3
ETL,14,2,0,39
Angular,0,28,44,0
Zustand,0,5,19,0
BigQuery,5,1,0,6
Nuxt.js,0,4,6,0
Flask,1,3,0,2
PostgreSQL,10,26,4,19
ONNX,4,0,0,0
Rollup,0,3,3,0
Vue.js,0,16,29,0
MobX,0,0,4,0
SQL,51,29,16,74
Keras,7,0,0,0
WebSocket,0,8,14,0
Kubernetes,36,54,19,21
Kafka,18,17,0,29
Next.js,0,38,83,3
C#,5,8,10,1
Spring,8,152,41,21
Lambda,2,11,1,2
MLflow,4,0,0,0
S3,2,3,4,1
TensorFlow,18,1,0,1
PHP,1,33,6,2
DynamoDB,1,4,0,2
Bootstrap,0,1,0,0
Transformer,12,0,0,2
RDS,2,8,1,8
NumPy,2,0,0,0
Express.js,0,6,3,0
Docker,29,75,22,13
Python,135,72,19,66
Nginx,0,2,3,1
PyTorch,56,1,0,11
Elasticsearch,4,8,3,2
Trino,1,0,0,2
Hadoop,6,1,1,11
Celery,2,1,1,0
React,4,141,381,7
Django,3,16,1,1
JWT,0,2,3,0
Snowflake,2,0,0,3
Java,12,60,18,16
Scikit-learn,3,0,0,1
Webpack,0,9,17,0
Hudi,1,0,0,1
Streamlit,3,3,0,1
LSTM,1,0,0,1
Go,2,12,2,0
CI/CD,25,102,75,11
MSSQL,1,3,0,2
Redux,0,8,18,0
D3.js,0,1,5,0
PWA,0,4,3,0
SQLite,0,0,1,0
Vite,0,9,24,0
OpenVINO,2,0,0,0
JavaScript,3,32,66,0
TensorRT,9,1,0,1
MySQL,7,54,11,15
Rust,5,15,1,2
CSS,0,25,48,0
HTML,0,10,15,0
GraphQL,2,30,18,3
MongoDB,5,28,4,7
Redis,5,40,6,2
AWS,59,253,96,89
Azure,17,27,9,11
Matplotlib,1,0,0,2
TypeScript,1,44,99,0
Apache,7,11,1,20
OAuth,1,3,2,0
